Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.114848	Node0	0	0	LastDelay	0.114848	114848	1	4
0.114848	Node0	0	0	FullDelay	0.114848	114848	1	4
0.124848	Node0	0	1	LastDelay	0.114848	114848	1	4
0.124848	Node0	0	1	FullDelay	0.114848	114848	1	4
0.134848	Node0	0	2	LastDelay	0.114848	114848	1	4
0.134848	Node0	0	2	FullDelay	0.114848	114848	1	4
0.144848	Node0	0	3	LastDelay	0.114848	114848	1	4
0.144848	Node0	0	3	FullDelay	0.114848	114848	1	4
0.154848	Node0	0	4	LastDelay	0.114848	114848	1	4
0.154848	Node0	0	4	FullDelay	0.114848	114848	1	4
0.164848	Node0	0	5	LastDelay	0.114848	114848	1	4
0.164848	Node0	0	5	FullDelay	0.114848	114848	1	4
0.174848	Node0	0	6	LastDelay	0.114848	114848	1	4
0.174848	Node0	0	6	FullDelay	0.114848	114848	1	4
0.184848	Node0	0	7	LastDelay	0.114848	114848	1	4
0.184848	Node0	0	7	FullDelay	0.114848	114848	1	4
0.194848	Node0	0	8	LastDelay	0.114848	114848	1	4
0.194848	Node0	0	8	FullDelay	0.114848	114848	1	4
0.204848	Node0	0	9	LastDelay	0.114848	114848	1	4
0.204848	Node0	0	9	FullDelay	0.114848	114848	1	4
0.214848	Node0	0	10	LastDelay	0.114848	114848	1	4
0.214848	Node0	0	10	FullDelay	0.114848	114848	1	4
0.224848	Node0	0	11	LastDelay	0.114848	114848	1	4
0.224848	Node0	0	11	FullDelay	0.114848	114848	1	4
0.234848	Node0	0	12	LastDelay	0.114848	114848	1	4
0.234848	Node0	0	12	FullDelay	0.114848	114848	1	4
0.244848	Node0	0	13	LastDelay	0.114848	114848	1	4
0.244848	Node0	0	13	FullDelay	0.114848	114848	1	4
0.254848	Node0	0	14	LastDelay	0.114848	114848	1	4
0.254848	Node0	0	14	FullDelay	0.114848	114848	1	4
0.264848	Node0	0	15	LastDelay	0.114848	114848	1	4
0.264848	Node0	0	15	FullDelay	0.114848	114848	1	4
0.274848	Node0	0	16	LastDelay	0.114848	114848	1	4
0.274848	Node0	0	16	FullDelay	0.114848	114848	1	4
0.284848	Node0	0	17	LastDelay	0.114848	114848	1	4
0.284848	Node0	0	17	FullDelay	0.114848	114848	1	4
0.294848	Node0	0	18	LastDelay	0.114848	114848	1	4
0.294848	Node0	0	18	FullDelay	0.114848	114848	1	4
0.304848	Node0	0	19	LastDelay	0.114848	114848	1	4
0.304848	Node0	0	19	FullDelay	0.114848	114848	1	4
0.314848	Node0	0	20	LastDelay	0.114848	114848	1	4
0.314848	Node0	0	20	FullDelay	0.114848	114848	1	4
0.324848	Node0	0	21	LastDelay	0.114848	114848	1	4
0.324848	Node0	0	21	FullDelay	0.114848	114848	1	4
0.334848	Node0	0	22	LastDelay	0.114848	114848	1	4
0.334848	Node0	0	22	FullDelay	0.114848	114848	1	4
0.344848	Node0	0	23	LastDelay	0.114848	114848	1	4
0.344848	Node0	0	23	FullDelay	0.114848	114848	1	4
0.354848	Node0	0	24	LastDelay	0.114848	114848	1	4
0.354848	Node0	0	24	FullDelay	0.114848	114848	1	4
0.364848	Node0	0	25	LastDelay	0.114848	114848	1	4
0.364848	Node0	0	25	FullDelay	0.114848	114848	1	4
0.374848	Node0	0	26	LastDelay	0.114848	114848	1	4
0.374848	Node0	0	26	FullDelay	0.114848	114848	1	4
0.384848	Node0	0	27	LastDelay	0.114848	114848	1	4
0.384848	Node0	0	27	FullDelay	0.114848	114848	1	4
0.394848	Node0	0	28	LastDelay	0.114848	114848	1	4
0.394848	Node0	0	28	FullDelay	0.114848	114848	1	4
0.404848	Node0	0	29	LastDelay	0.114848	114848	1	4
0.404848	Node0	0	29	FullDelay	0.114848	114848	1	4
0.414848	Node0	0	30	LastDelay	0.114848	114848	1	4
0.414848	Node0	0	30	FullDelay	0.114848	114848	1	4
0.424848	Node0	0	31	LastDelay	0.114848	114848	1	4
0.424848	Node0	0	31	FullDelay	0.114848	114848	1	4
0.434848	Node0	0	32	LastDelay	0.114848	114848	1	4
0.434848	Node0	0	32	FullDelay	0.114848	114848	1	4
0.444848	Node0	0	33	LastDelay	0.114848	114848	1	4
0.444848	Node0	0	33	FullDelay	0.114848	114848	1	4
0.454848	Node0	0	34	LastDelay	0.114848	114848	1	4
0.454848	Node0	0	34	FullDelay	0.114848	114848	1	4
0.464848	Node0	0	35	LastDelay	0.114848	114848	1	4
0.464848	Node0	0	35	FullDelay	0.114848	114848	1	4
0.474848	Node0	0	36	LastDelay	0.114848	114848	1	4
0.474848	Node0	0	36	FullDelay	0.114848	114848	1	4
0.484848	Node0	0	37	LastDelay	0.114848	114848	1	4
0.484848	Node0	0	37	FullDelay	0.114848	114848	1	4
0.494848	Node0	0	38	LastDelay	0.114848	114848	1	4
0.494848	Node0	0	38	FullDelay	0.114848	114848	1	4
0.504848	Node0	0	39	LastDelay	0.114848	114848	1	4
0.504848	Node0	0	39	FullDelay	0.114848	114848	1	4
0.514848	Node0	0	40	LastDelay	0.114848	114848	1	4
0.514848	Node0	0	40	FullDelay	0.114848	114848	1	4
0.524848	Node0	0	41	LastDelay	0.114848	114848	1	4
0.524848	Node0	0	41	FullDelay	0.114848	114848	1	4
0.534848	Node0	0	42	LastDelay	0.114848	114848	1	4
0.534848	Node0	0	42	FullDelay	0.114848	114848	1	4
