Time	Node	Type	Packets	
0.5	Node0	CacheHits	4
0.5	Node0	CacheMisses	53
0.5	Node1	CacheHits	4
0.5	Node1	CacheMisses	52
0.5	Node2	CacheHits	3
0.5	Node2	CacheMisses	3
0.5	Node3	CacheHits	4
0.5	Node3	CacheMisses	3
0.5	Node4	CacheHits	5
0.5	Node4	CacheMisses	51
0.5	Node5	CacheHits	4
0.5	Node5	CacheMisses	3
0.5	Node6	CacheHits	3
0.5	Node6	CacheMisses	3
0.5	Node7	CacheHits	4
0.5	Node7	CacheMisses	50
0.5	Node8	CacheHits	4
0.5	Node8	CacheMisses	49
1	Node0	CacheHits	0
1	Node0	CacheMisses	50
1	Node1	CacheHits	0
1	Node1	CacheMisses	50
1	Node2	CacheHits	0
1	Node2	CacheMisses	0
1	Node3	CacheHits	0
1	Node3	CacheMisses	0
1	Node4	CacheHits	0
1	Node4	CacheMisses	50
1	Node5	CacheHits	0
1	Node5	CacheMisses	0
1	Node6	CacheHits	0
1	Node6	CacheMisses	0
1	Node7	CacheHits	0
1	Node7	CacheMisses	50
1	Node8	CacheHits	0
1	Node8	CacheMisses	50
1.5	Node0	CacheHits	0
1.5	Node0	CacheMisses	50
1.5	Node1	CacheHits	0
1.5	Node1	CacheMisses	50
1.5	Node2	CacheHits	0
1.5	Node2	CacheMisses	0
1.5	Node3	CacheHits	0
1.5	Node3	CacheMisses	0
1.5	Node4	CacheHits	0
1.5	Node4	CacheMisses	50
1.5	Node5	CacheHits	0
1.5	Node5	CacheMisses	0
1.5	Node6	CacheHits	0
1.5	Node6	CacheMisses	0
1.5	Node7	CacheHits	0
1.5	Node7	CacheMisses	50
1.5	Node8	CacheHits	0
1.5	Node8	CacheMisses	50
2	Node0	CacheHits	0
2	Node0	CacheMisses	50
2	Node1	CacheHits	0
2	Node1	CacheMisses	50
2	Node2	CacheHits	0
2	Node2	CacheMisses	0
2	Node3	CacheHits	0
2	Node3	CacheMisses	0
2	Node4	CacheHits	0
2	Node4	CacheMisses	50
2	Node5	CacheHits	0
2	Node5	CacheMisses	0
2	Node6	CacheHits	0
2	Node6	CacheMisses	0
2	Node7	CacheHits	0
2	Node7	CacheMisses	50
2	Node8	CacheHits	0
2	Node8	CacheMisses	50
2.5	Node0	CacheHits	0
2.5	Node0	CacheMisses	50
2.5	Node1	CacheHits	0
2.5	Node1	CacheMisses	50
2.5	Node2	CacheHits	0
2.5	Node2	CacheMisses	0
2.5	Node3	CacheHits	0
2.5	Node3	CacheMisses	0
2.5	Node4	CacheHits	0
2.5	Node4	CacheMisses	50
2.5	Node5	CacheHits	0
2.5	Node5	CacheMisses	0
2.5	Node6	CacheHits	0
2.5	Node6	CacheMisses	0
2.5	Node7	CacheHits	0
2.5	Node7	CacheMisses	50
2.5	Node8	CacheHits	0
2.5	Node8	CacheMisses	50
3	Node0	CacheHits	0
3	Node0	CacheMisses	50
3	Node1	CacheHits	0
3	Node1	CacheMisses	50
3	Node2	CacheHits	0
3	Node2	CacheMisses	0
3	Node3	CacheHits	0
3	Node3	CacheMisses	0
3	Node4	CacheHits	0
3	Node4	CacheMisses	50
3	Node5	CacheHits	0
3	Node5	CacheMisses	0
3	Node6	CacheHits	0
3	Node6	CacheMisses	0
3	Node7	CacheHits	0
3	Node7	CacheMisses	50
3	Node8	CacheHits	0
3	Node8	CacheMisses	50
3.5	Node0	CacheHits	0
3.5	Node0	CacheMisses	50
3.5	Node1	CacheHits	0
3.5	Node1	CacheMisses	50
3.5	Node2	CacheHits	0
3.5	Node2	CacheMisses	0
3.5	Node3	CacheHits	0
3.5	Node3	CacheMisses	0
3.5	Node4	CacheHits	0
3.5	Node4	CacheMisses	50
3.5	Node5	CacheHits	0
3.5	Node5	CacheMisses	0
3.5	Node6	CacheHits	0
3.5	Node6	CacheMisses	0
3.5	Node7	CacheHits	0
3.5	Node7	CacheMisses	50
3.5	Node8	CacheHits	0
3.5	Node8	CacheMisses	50
4	Node0	CacheHits	0
4	Node0	CacheMisses	50
