Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	Node0	1	internal://	InInterests	0	0	0	0
0.5	Node0	1	internal://	OutInterests	0	0	0	0
0.5	Node0	1	internal://	InData	0	0	0	0
0.5	Node0	1	internal://	OutData	0	0	0	0
0.5	Node0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	Node0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	Node0	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	Node0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	Node0	256	netDeviceFace://	InInterests	0	0	0	0
0.5	Node0	256	netDeviceFace://	OutInterests	80	0	50	0
0.5	Node0	256	netDeviceFace://	InData	62.4	64.5328	39	40.333
0.5	Node0	256	netDeviceFace://	OutData	0	0	0	0
0.5	Node0	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	Node0	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	Node0	256	netDeviceFace://	OutSatisfiedInterests	62.4	0	39	0
0.5	Node0	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	Node0	258	ndnFace://0	InInterests	11.2	0	7	0
0.5	Node0	258	ndnFace://0	OutInterests	0	0	0	0
0.5	Node0	258	ndnFace://0	InData	0	0	0	0
0.5	Node0	258	ndnFace://0	OutData	0	0	0	0
0.5	Node0	258	ndnFace://0	InSatisfiedInterests	3.2	0	2	0
0.5	Node0	258	ndnFace://0	InTimedOutInterests	0	0	0	0
0.5	Node0	258	ndnFace://0	OutSatisfiedInterests	0	0	0	0
0.5	Node0	258	ndnFace://0	OutTimedOutInterests	0	0	0	0
0.5	Node0	259	appFace://	InInterests	80	2.03125	50	1.26953
0.5	Node0	259	appFace://	OutInterests	0	0	0	0
0.5	Node0	259	appFace://	InData	0	0	0	0
0.5	Node0	259	appFace://	OutData	62.4	64.5328	39	40.333
0.5	Node0	259	appFace://	InSatisfiedInterests	62.4	0	39	0
0.5	Node0	259	appFace://	InTimedOutInterests	0	0	0	0
0.5	Node0	259	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	Node0	259	appFace://	OutTimedOutInterests	0	0	0	0
0.5	Node0	-1	all	SatisfiedInterests	72	0	45	0
0.5	Node0	-1	all	TimedOutInterests	0	0	0	0
0.5	Node1	1	internal://	InInterests	0	0	0	0
0.5	Node1	1	internal://	OutInterests	0	0	0	0
0.5	Node1	1	internal://	InData	0	0	0	0
0.5	Node1	1	internal://	OutData	0	0	0	0
0.5	Node1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	Node1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	Node1	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	Node1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	Node1	256	netDeviceFace://	InInterests	78.4	1.99063	49	1.24414
0.5	Node1	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	Node1	256	netDeviceFace://	InData	0	0	0	0
0.5	Node1	256	netDeviceFace://	OutData	65.6	67.8422	41	42.4014
0.5	Node1	256	netDeviceFace://	InSatisfiedInterests	65.6	0	41	0
0.5	Node1	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	Node1	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	Node1	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	Node1	258	netDeviceFace://	InInterests	0	0	0	0
0.5	Node1	258	netDeviceFace://	OutInterests	78.4	1.99063	49	1.24414
0.5	Node1	258	netDeviceFace://	InData	65.6	67.8422	41	42.4014
0.5	Node1	258	netDeviceFace://	OutData	0	0	0	0
0.5	Node1	258	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	Node1	258	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	Node1	258	netDeviceFace://	OutSatisfiedInterests	65.6	0	41	0
0.5	Node1	258	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	Node1	259	ndnFace://1	InInterests	11.2	0	7	0
0.5	Node1	259	ndnFace://1	OutInterests	0	0	0	0
0.5	Node1	259	ndnFace://1	InData	0	0	0	0
0.5	Node1	259	ndnFace://1	OutData	0	0	0	0
0.5	Node1	259	ndnFace://1	InSatisfiedInterests	3.2	0	2	0
0.5	Node1	259	ndnFace://1	InTimedOutInterests	0	0	0	0
0.5	Node1	259	ndnFace://1	OutSatisfiedInterests	0	0	0	0
0.5	Node1	259	ndnFace://1	OutTimedOutInterests	0	0	0	0
0.5	Node1	-1	all	SatisfiedInterests	75.2	0	47	0
0.5	Node1	-1	all	TimedOutInterests	0	0	0	0
0.5	Node2	1	internal://	InInterests	0	0	0	0
0.5	Node2	1	internal://	OutInterests	0	0	0	0
