Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	1	internal://	InInterests	0	0	0	0
0.5	0	1	internal://	OutInterests	0	0	0	0
0.5	0	1	internal://	InData	0	0	0	0
0.5	0	1	internal://	OutData	0	0	0	0
0.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	0	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	256	netDeviceFace://	InInterests	0	0	0	0
0.5	0	256	netDeviceFace://	OutInterests	80	0	50	0
0.5	0	256	netDeviceFace://	InData	67.2	69.4969	42	43.4355
0.5	0	256	netDeviceFace://	OutData	0	0	0	0
0.5	0	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	0	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	0	256	netDeviceFace://	OutSatisfiedInterests	67.2	0	42	0
0.5	0	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	0	257	ndnFace://0	InInterests	9.6	0	6	0
0.5	0	257	ndnFace://0	OutInterests	0	0	0	0
0.5	0	257	ndnFace://0	InData	0	0	0	0
0.5	0	257	ndnFace://0	OutData	0	0	0	0
0.5	0	257	ndnFace://0	InSatisfiedInterests	3.2	0	2	0
0.5	0	257	ndnFace://0	InTimedOutInterests	0	0	0	0
0.5	0	257	ndnFace://0	OutSatisfiedInterests	0	0	0	0
0.5	0	257	ndnFace://0	OutTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	InInterests	80	2.03125	50	1.26953
0.5	0	258	appFace://	OutInterests	0	0	0	0
0.5	0	258	appFace://	InData	0	0	0	0
0.5	0	258	appFace://	OutData	67.2	69.4969	42	43.4355
0.5	0	258	appFace://	InSatisfiedInterests	67.2	0	42	0
0.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	75.2	0	47	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	1	internal://	InInterests	0	0	0	0
0.5	1	1	internal://	OutInterests	0	0	0	0
0.5	1	1	internal://	InData	0	0	0	0
0.5	1	1	internal://	OutData	0	0	0	0
0.5	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	1	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	InInterests	78.4	1.99063	49	1.24414
0.5	1	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	InData	0	0	0	0
0.5	1	256	netDeviceFace://	OutData	70.4	72.8063	44	45.5039
0.5	1	256	netDeviceFace://	InSatisfiedInterests	70.4	0	44	0
0.5	1	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	1	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	257	netDeviceFace://	InInterests	0	0	0	0
0.5	1	257	netDeviceFace://	OutInterests	78.4	1.99063	49	1.24414
0.5	1	257	netDeviceFace://	InData	70.4	72.8063	44	45.5039
0.5	1	257	netDeviceFace://	OutData	0	0	0	0
0.5	1	257	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	1	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	1	257	netDeviceFace://	OutSatisfiedInterests	70.4	0	44	0
0.5	1	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	1	258	ndnFace://1	InInterests	9.6	0	6	0
0.5	1	258	ndnFace://1	OutInterests	0	0	0	0
0.5	1	258	ndnFace://1	InData	0	0	0	0
0.5	1	258	ndnFace://1	OutData	0	0	0	0
0.5	1	258	ndnFace://1	InSatisfiedInterests	3.2	0	2	0
0.5	1	258	ndnFace://1	InTimedOutInterests	0	0	0	0
0.5	1	258	ndnFace://1	OutSatisfiedInterests	0	0	0	0
0.5	1	258	ndnFace://1	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	78.4	0	49	0
0.5	1	-1	all	TimedOutInterests	0	0	0	0
0.5	2	1	internal://	InInterests	0	0	0	0
0.5	2	1	internal://	OutInterests	0	0	0	0
0.5	2	1	internal://	InData	0	0	0	0
0.5	2	1	internal://	OutData	0	0	0	0
0.5	2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	2	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	256	netDeviceFace://	InInterests	76.8	1.95	48	1.21875
0.5	2	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	2	256	netDeviceFace://	InData	0	0	0	0
0.5	2	256	netDeviceFace://	OutData	73.6	76.1156	46	47.5723
0.5	2	256	netDeviceFace://	InSatisfiedInterests	73.6	0	46	0
0.5	2	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	2	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	2	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	2	257	netDeviceFace://	InInterests	0	0	0	0
0.5	2	257	netDeviceFace://	OutInterests	76.8	1.95	48	1.21875
0.5	2	257	netDeviceFace://	InData	73.6	76.1156	46	47.5723
0.5	2	257	netDeviceFace://	OutData	0	0	0	0
0.5	2	257	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	2	257	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	2	257	netDeviceFace://	OutSatisfiedInterests	73.6	0	46	0
0.5	2	257	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	2	258	ndnFace://2	InInterests	9.6	0	6	0
0.5	2	258	ndnFace://2	OutInterests	0	0	0	0
0.5	2	258	ndnFace://2	InData	0	0	0	0
0.5	2	258	ndnFace://2	OutData	0	0	0	0
0.5	2	258	ndnFace://2	InSatisfiedInterests	3.2	0	2	0
0.5	2	258	ndnFace://2	InTimedOutInterests	0	0	0	0
0.5	2	258	ndnFace://2	OutSatisfiedInterests	0	0	0	0
0.5	2	258	ndnFace://2	OutTimedOutInterests	0	0	0	0
0.5	2	-1	all	SatisfiedInterests	81.6	0	51	0
0.5	2	-1	all	TimedOutInterests	0	0	0	0
0.5	3	1	internal://	InInterests	0	0	0	0
0.5	3	1	internal://	OutInterests	0	0	0	0
0.5	3	1	internal://	InData	0	0	0	0
0.5	3	1	internal://	OutData	0	0	0	0
0.5	3	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	3	1	internal://	InTimedOutInterests	0	0	0	0
0.5	3	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	3	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	3	256	netDeviceFace://	InInterests	75.2	1.90938	47	1.19336
0.5	3	256	netDeviceFace://	OutInterests	0	0	0	0
0.5	3	256	netDeviceFace://	InData	0	0	0	0
0.5	3	256	netDeviceFace://	OutData	75.2	77.7703	47	48.6064
0.5	3	256	netDeviceFace://	InSatisfiedInterests	75.2	0	47	0
0.5	3	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	3	256	netDeviceFace://	OutSatisfiedInterests	0	0	0	0
0.5	3	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	3	257	ndnFace://3	InInterests	9.6	0	6	0
0.5	3	257	ndnFace://3	OutInterests	0	0	0	0
0.5	3	257	ndnFace://3	InData	0	0	0	0
0.5	3	257	ndnFace://3	OutData	0	0	0	0
0.5	3	257	ndnFace://3	InSatisfiedInterests	3.2	0	2	0
0.5	3	257	ndnFace://3	InTimedOutInterests	0	0	0	0
0.5	3	257	ndnFace://3	OutSatisfiedInterests	0	0	0	0
0.5	3	257	ndnFace://3	OutTimedOutInterests	0	0	0	0
0.5	3	258	appFace://	InInterests	0	0	0	0
0.5	3	258	appFace://	OutInterests	75.2	1.90938	47	1.19336
0.5	3	258	appFace://	InData	75.2	77.7703	47	48.6064
0.5	3	258	appFace://	OutData	0	0	0	0
0.5	3	258	appFace://	InSatisfiedInterests	0	0	0	0
0.5	3	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	3	258	appFace://	OutSatisfiedInterests	75.2	0	47	0
