Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0819096	Src1	0	0	LastDelay	0.0819096	81909.6	1	4
0.0819096	Src1	0	0	FullDelay	0.0819096	81909.6	1	4
0.0819096	Src4	0	0	LastDelay	0.0819096	81909.6	1	4
0.0819096	Src4	0	0	FullDelay	0.0819096	81909.6	1	4
0.0819096	Src7	0	0	LastDelay	0.0819096	81909.6	1	4
0.0819096	Src7	0	0	FullDelay	0.0819096	81909.6	1	4
0.0827568	Src2	0	0	LastDelay	0.0827568	82756.8	1	4
0.0827568	Src2	0	0	FullDelay	0.0827568	82756.8	1	4
0.0827568	Src5	0	0	LastDelay	0.0827568	82756.8	1	4
0.0827568	Src5	0	0	FullDelay	0.0827568	82756.8	1	4
0.0827568	Src8	0	0	LastDelay	0.0827568	82756.8	1	4
0.0827568	Src8	0	0	FullDelay	0.0827568	82756.8	1	4
0.083604	Src3	0	0	LastDelay	0.083604	83604	1	4
0.083604	Src3	0	0	FullDelay	0.083604	83604	1	4
0.083604	Src6	0	0	LastDelay	0.083604	83604	1	4
0.083604	Src6	0	0	FullDelay	0.083604	83604	1	4
0.083604	Src9	0	0	LastDelay	0.083604	83604	1	4
0.083604	Src9	0	0	FullDelay	0.083604	83604	1	4
0.0844512	Src3	0	1	LastDelay	0.0843372	84337.2	1	4
0.0844512	Src3	0	1	FullDelay	0.0843372	84337.2	1	4
0.0844512	Src4	0	1	LastDelay	0.0832646	83264.6	1	4
0.0844512	Src4	0	1	FullDelay	0.0832646	83264.6	1	4
0.0844512	Src9	0	1	LastDelay	0.084276	84276	1	4
0.0844512	Src9	0	1	FullDelay	0.084276	84276	1	4
0.0852984	Src3	0	2	LastDelay	0.0846553	84655.3	1	4
0.0852984	Src3	0	2	FullDelay	0.0846553	84655.3	1	4
0.0852984	Src5	0	1	LastDelay	0.0837208	83720.8	1	4
0.0852984	Src5	0	1	FullDelay	0.0837208	83720.8	1	4
0.0852984	Src8	0	1	LastDelay	0.0844903	84490.3	1	4
