Time	Node	Type	Packets	
0.5	Rtr1	CacheHits	5
0.5	Rtr1	CacheMisses	1009
0.5	Rtr2	CacheHits	5
0.5	Rtr2	CacheMisses	1027
0.5	Rtr3	CacheHits	5
0.5	Rtr3	CacheMisses	997
0.5	Rtr7	CacheHits	7
0.5	Rtr7	CacheMisses	2991
0.5	Rtr4	CacheHits	410
0.5	Rtr4	CacheMisses	984
0.5	Rtr5	CacheHits	435
0.5	Rtr5	CacheMisses	1021
0.5	Rtr6	CacheHits	425
0.5	Rtr6	CacheMisses	989
0.5	Src1	CacheHits	3
0.5	Src1	CacheMisses	359
0.5	Src2	CacheHits	3
0.5	Src2	CacheMisses	347
0.5	Src3	CacheHits	3
0.5	Src3	CacheMisses	337
0.5	Src4	CacheHits	3
0.5	Src4	CacheMisses	365
0.5	Src5	CacheHits	3
0.5	Src5	CacheMisses	349
0.5	Src6	CacheHits	3
0.5	Src6	CacheMisses	343
0.5	Src7	CacheHits	3
0.5	Src7	CacheMisses	337
0.5	Src8	CacheHits	3
0.5	Src8	CacheMisses	351
0.5	Src9	CacheHits	3
0.5	Src9	CacheMisses	340
0.5	Dst1	CacheHits	3
0.5	Dst1	CacheMisses	325
0.5	Dst2	CacheHits	3
0.5	Dst2	CacheMisses	345
0.5	Dst3	CacheHits	3
0.5	Dst3	CacheMisses	320
0.5	Dst4	CacheHits	3
0.5	Dst4	CacheMisses	340
0.5	Dst5	CacheHits	3
0.5	Dst5	CacheMisses	336
0.5	Dst6	CacheHits	3
0.5	Dst6	CacheMisses	351
0.5	Dst7	CacheHits	3
0.5	Dst7	CacheMisses	324
0.5	Dst8	CacheHits	3
0.5	Dst8	CacheMisses	326
0.5	Dst9	CacheHits	3
0.5	Dst9	CacheMisses	345
1	Rtr1	CacheHits	0
1	Rtr1	CacheMisses	615
1	Rtr2	CacheHits	0
1	Rtr2	CacheMisses	507
1	Rtr3	CacheHits	0
1	Rtr3	CacheMisses	581
1	Rtr7	CacheHits	0
1	Rtr7	CacheMisses	1686
1	Rtr4	CacheHits	950
1	Rtr4	CacheMisses	572
1	Rtr5	CacheHits	1019
1	Rtr5	CacheMisses	486
1	Rtr6	CacheHits	851
1	Rtr6	CacheMisses	623
1	Src1	CacheHits	0
1	Src1	CacheMisses	185
1	Src2	CacheHits	0
1	Src2	CacheMisses	203
1	Src3	CacheHits	0
1	Src3	CacheMisses	215
1	Src4	CacheHits	0
1	Src4	CacheMisses	185
1	Src5	CacheHits	0
1	Src5	CacheMisses	152
1	Src6	CacheHits	0
1	Src6	CacheMisses	179
1	Src7	CacheHits	0
1	Src7	CacheMisses	188
1	Src8	CacheHits	0
1	Src8	CacheMisses	199
1	Src9	CacheHits	0
1	Src9	CacheMisses	198
1	Dst1	CacheHits	0
1	Dst1	CacheMisses	192
1	Dst2	CacheHits	0
1	Dst2	CacheMisses	190
1	Dst3	CacheHits	0
1	Dst3	CacheMisses	190
1	Dst4	CacheHits	0
1	Dst4	CacheMisses	160
1	Dst5	CacheHits	0
1	Dst5	CacheMisses	150
1	Dst6	CacheHits	0
1	Dst6	CacheMisses	176
1	Dst7	CacheHits	0
1	Dst7	CacheMisses	208
1	Dst8	CacheHits	0
1	Dst8	CacheMisses	224
1	Dst9	CacheHits	0
1	Dst9	CacheMisses	191
1.5	Rtr1	CacheHits	0
1.5	Rtr1	CacheMisses	605
1.5	Rtr2	CacheHits	0
1.5	Rtr2	CacheMisses	579
1.5	Rtr3	CacheHits	0
1.5	Rtr3	CacheMisses	532
1.5	Rtr7	CacheHits	0
1.5	Rtr7	CacheMisses	1704
1.5	Rtr4	CacheHits	942
1.5	Rtr4	CacheMisses	509
1.5	Rtr5	CacheHits	958
1.5	Rtr5	CacheMisses	561
1.5	Rtr6	CacheHits	891
1.5	Rtr6	CacheMisses	612
1.5	Src1	CacheHits	0
1.5	Src1	CacheMisses	207
1.5	Src2	CacheHits	0
1.5	Src2	CacheMisses	222
1.5	Src3	CacheHits	0
1.5	Src3	CacheMisses	168
1.5	Src4	CacheHits	0
1.5	Src4	CacheMisses	178
1.5	Src5	CacheHits	0
1.5	Src5	CacheMisses	229
1.5	Src6	CacheHits	0
1.5	Src6	CacheMisses	172
1.5	Src7	CacheHits	0
1.5	Src7	CacheMisses	195
1.5	Src8	CacheHits	0
1.5	Src8	CacheMisses	173
1.5	Src9	CacheHits	0
1.5	Src9	CacheMisses	164
1.5	Dst1	CacheHits	0
1.5	Dst1	CacheMisses	154
1.5	Dst2	CacheHits	0
1.5	Dst2	CacheMisses	167
1.5	Dst3	CacheHits	0
1.5	Dst3	CacheMisses	175
1.5	Dst4	CacheHits	0
1.5	Dst4	CacheMisses	172
1.5	Dst5	CacheHits	0
1.5	Dst5	CacheMisses	200
1.5	Dst6	CacheHits	0
1.5	Dst6	CacheMisses	176
1.5	Dst7	CacheHits	0
1.5	Dst7	CacheMisses	175
1.5	Dst8	CacheHits	0
1.5	Dst8	CacheMisses	222
1.5	Dst9	CacheHits	0
1.5	Dst9	CacheMisses	215
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	618
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	585
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	567
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	1792
2	Rtr4	CacheHits	907
2	Rtr4	CacheMisses	585
2	Rtr5	CacheHits	868
2	Rtr5	CacheMisses	607
2	Rtr6	CacheHits	814
2	Rtr6	CacheMisses	673
2	Src1	CacheHits	0
2	Src1	CacheMisses	222
2	Src2	CacheHits	0
2	Src2	CacheMisses	207
2	Src3	CacheHits	0
2	Src3	CacheMisses	194
2	Src4	CacheHits	0
2	Src4	CacheMisses	213
2	Src5	CacheHits	0
2	Src5	CacheMisses	180
2	Src6	CacheHits	0
2	Src6	CacheMisses	166
2	Src7	CacheHits	0
2	Src7	CacheMisses	210
2	Src8	CacheHits	0
2	Src8	CacheMisses	172
2	Src9	CacheHits	0
2	Src9	CacheMisses	183
2	Dst1	CacheHits	0
2	Dst1	CacheMisses	201
2	Dst2	CacheHits	0
2	Dst2	CacheMisses	182
2	Dst3	CacheHits	0
2	Dst3	CacheMisses	215
2	Dst4	CacheHits	0
2	Dst4	CacheMisses	188
2	Dst5	CacheHits	0
2	Dst5	CacheMisses	224
2	Dst6	CacheHits	0
2	Dst6	CacheMisses	199
2	Dst7	CacheHits	2
2	Dst7	CacheMisses	207
2	Dst8	CacheHits	63
2	Dst8	CacheMisses	168
2	Dst9	CacheHits	4
2	Dst9	CacheMisses	222
2.5	Rtr1	CacheHits	0
2.5	Rtr1	CacheMisses	610
2.5	Rtr2	CacheHits	0
2.5	Rtr2	CacheMisses	573
2.5	Rtr3	CacheHits	0
2.5	Rtr3	CacheMisses	615
2.5	Rtr7	CacheHits	0
2.5	Rtr7	CacheMisses	1806
2.5	Rtr4	CacheHits	907
2.5	Rtr4	CacheMisses	605
