Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0057616	leaf-1	0	0	LastDelay	0.0057616	5761.6	1	2
0.0057616	leaf-1	0	0	FullDelay	0.0057616	5761.6	1	2
0.0057616	leaf-3	0	0	LastDelay	0.0057616	5761.6	1	2
0.0057616	leaf-3	0	0	FullDelay	0.0057616	5761.6	1	2
0.0066152	leaf-2	0	0	LastDelay	0.0066152	6615.2	1	2
0.0066152	leaf-2	0	0	FullDelay	0.0066152	6615.2	1	2
0.0066152	leaf-4	0	0	LastDelay	0.0066152	6615.2	1	2
0.0066152	leaf-4	0	0	FullDelay	0.0066152	6615.2	1	2
0.0157616	leaf-1	0	1	LastDelay	0.0057616	5761.6	1	2
0.0157616	leaf-1	0	1	FullDelay	0.0057616	5761.6	1	2
0.0157616	leaf-3	0	1	LastDelay	0.0057616	5761.6	1	2
0.0157616	leaf-3	0	1	FullDelay	0.0057616	5761.6	1	2
0.0166152	leaf-2	0	1	LastDelay	0.0066152	6615.2	1	2
0.0166152	leaf-2	0	1	FullDelay	0.0066152	6615.2	1	2
0.0166152	leaf-4	0	1	LastDelay	0.0066152	6615.2	1	2
0.0166152	leaf-4	0	1	FullDelay	0.0066152	6615.2	1	2
0.0257616	leaf-1	0	2	LastDelay	0.0057616	5761.6	1	2
0.0257616	leaf-1	0	2	FullDelay	0.0057616	5761.6	1	2
0.0257616	leaf-3	0	2	LastDelay	0.0057616	5761.6	1	2
0.0257616	leaf-3	0	2	FullDelay	0.0057616	5761.6	1	2
0.0266152	leaf-2	0	2	LastDelay	0.0066152	6615.2	1	2
0.0266152	leaf-2	0	2	FullDelay	0.0066152	6615.2	1	2
0.0266152	leaf-4	0	2	LastDelay	0.0066152	6615.2	1	2
0.0266152	leaf-4	0	2	FullDelay	0.0066152	6615.2	1	2
0.0357616	leaf-1	0	3	LastDelay	0.0057616	5761.6	1	2
0.0357616	leaf-1	0	3	FullDelay	0.0057616	5761.6	1	2
0.0357616	leaf-3	0	3	LastDelay	0.0057616	5761.6	1	2
0.0357616	leaf-3	0	3	FullDelay	0.0057616	5761.6	1	2
0.0366152	leaf-2	0	3	LastDelay	0.0066152	6615.2	1	2
0.0366152	leaf-2	0	3	FullDelay	0.0066152	6615.2	1	2
0.0366152	leaf-4	0	3	LastDelay	0.0066152	6615.2	1	2
0.0366152	leaf-4	0	3	FullDelay	0.0066152	6615.2	1	2
0.0457616	leaf-1	0	4	LastDelay	0.0057616	5761.6	1	2
0.0457616	leaf-1	0	4	FullDelay	0.0057616	5761.6	1	2
0.0457616	leaf-3	0	4	LastDelay	0.0057616	5761.6	1	2
0.0457616	leaf-3	0	4	FullDelay	0.0057616	5761.6	1	2
0.0466152	leaf-2	0	4	LastDelay	0.0066152	6615.2	1	2
0.0466152	leaf-2	0	4	FullDelay	0.0066152	6615.2	1	2
0.0466152	leaf-4	0	4	LastDelay	0.0066152	6615.2	1	2
0.0466152	leaf-4	0	4	FullDelay	0.0066152	6615.2	1	2
0.0557616	leaf-1	0	5	LastDelay	0.0057616	5761.6	1	2
0.0557616	leaf-1	0	5	FullDelay	0.0057616	5761.6	1	2
0.0557616	leaf-3	0	5	LastDelay	0.0057616	5761.6	1	2
0.0557616	leaf-3	0	5	FullDelay	0.0057616	5761.6	1	2
0.0566152	leaf-2	0	5	LastDelay	0.0066152	6615.2	1	2
0.0566152	leaf-2	0	5	FullDelay	0.0066152	6615.2	1	2
0.0566152	leaf-4	0	5	LastDelay	0.0066152	6615.2	1	2
0.0566152	leaf-4	0	5	FullDelay	0.0066152	6615.2	1	2
0.0657616	leaf-1	0	6	LastDelay	0.0057616	5761.6	1	2
0.0657616	leaf-1	0	6	FullDelay	0.0057616	5761.6	1	2
0.0657616	leaf-3	0	6	LastDelay	0.0057616	5761.6	1	2
0.0657616	leaf-3	0	6	FullDelay	0.0057616	5761.6	1	2
0.0666152	leaf-2	0	6	LastDelay	0.0066152	6615.2	1	2
0.0666152	leaf-2	0	6	FullDelay	0.0066152	6615.2	1	2
0.0666152	leaf-4	0	6	LastDelay	0.0066152	6615.2	1	2
0.0666152	leaf-4	0	6	FullDelay	0.0066152	6615.2	1	2
0.0757616	leaf-1	0	7	LastDelay	0.0057616	5761.6	1	2
0.0757616	leaf-1	0	7	FullDelay	0.0057616	5761.6	1	2
0.0757616	leaf-3	0	7	LastDelay	0.0057616	5761.6	1	2
0.0757616	leaf-3	0	7	FullDelay	0.0057616	5761.6	1	2
0.0766152	leaf-2	0	7	LastDelay	0.0066152	6615.2	1	2
0.0766152	leaf-2	0	7	FullDelay	0.0066152	6615.2	1	2
0.0766152	leaf-4	0	7	LastDelay	0.0066152	6615.2	1	2
0.0766152	leaf-4	0	7	FullDelay	0.0066152	6615.2	1	2
0.0857616	leaf-1	0	8	LastDelay	0.0057616	5761.6	1	2
0.0857616	leaf-1	0	8	FullDelay	0.0057616	5761.6	1	2
0.0857616	leaf-3	0	8	LastDelay	0.0057616	5761.6	1	2
0.0857616	leaf-3	0	8	FullDelay	0.0057616	5761.6	1	2
0.0866152	leaf-2	0	8	LastDelay	0.0066152	6615.2	1	2
0.0866152	leaf-2	0	8	FullDelay	0.0066152	6615.2	1	2
0.0866152	leaf-4	0	8	LastDelay	0.0066152	6615.2	1	2
0.0866152	leaf-4	0	8	FullDelay	0.0066152	6615.2	1	2
0.0957616	leaf-1	0	9	LastDelay	0.0057616	5761.6	1	2
0.0957616	leaf-1	0	9	FullDelay	0.0057616	5761.6	1	2
0.0957616	leaf-3	0	9	LastDelay	0.0057616	5761.6	1	2
0.0957616	leaf-3	0	9	FullDelay	0.0057616	5761.6	1	2
0.0966152	leaf-2	0	9	LastDelay	0.0066152	6615.2	1	2
0.0966152	leaf-2	0	9	FullDelay	0.0066152	6615.2	1	2
0.0966152	leaf-4	0	9	LastDelay	0.0066152	6615.2	1	2
0.0966152	leaf-4	0	9	FullDelay	0.0066152	6615.2	1	2
0.105762	leaf-1	0	10	LastDelay	0.0057616	5761.6	1	2
0.105762	leaf-1	0	10	FullDelay	0.0057616	5761.6	1	2
0.105762	leaf-3	0	10	LastDelay	0.0057616	5761.6	1	2
0.105762	leaf-3	0	10	FullDelay	0.0057616	5761.6	1	2
0.106615	leaf-2	0	10	LastDelay	0.0066152	6615.2	1	2
0.106615	leaf-2	0	10	FullDelay	0.0066152	6615.2	1	2
0.106615	leaf-4	0	10	LastDelay	0.0066152	6615.2	1	2
0.106615	leaf-4	0	10	FullDelay	0.0066152	6615.2	1	2
0.115762	leaf-1	0	11	LastDelay	0.0057616	5761.6	1	2
0.115762	leaf-1	0	11	FullDelay	0.0057616	5761.6	1	2
0.115762	leaf-3	0	11	LastDelay	0.0057616	5761.6	1	2
0.115762	leaf-3	0	11	FullDelay	0.0057616	5761.6	1	2
0.116615	leaf-2	0	11	LastDelay	0.0066152	6615.2	1	2
0.116615	leaf-2	0	11	FullDelay	0.0066152	6615.2	1	2
0.116615	leaf-4	0	11	LastDelay	0.0066152	6615.2	1	2
0.116615	leaf-4	0	11	FullDelay	0.0066152	6615.2	1	2
0.125762	leaf-1	0	12	LastDelay	0.0057616	5761.6	1	2
0.125762	leaf-1	0	12	FullDelay	0.0057616	5761.6	1	2
0.125762	leaf-3	0	12	LastDelay	0.0057616	5761.6	1	2
0.125762	leaf-3	0	12	FullDelay	0.0057616	5761.6	1	2
0.126615	leaf-2	0	12	LastDelay	0.0066152	6615.2	1	2
0.126615	leaf-2	0	12	FullDelay	0.0066152	6615.2	1	2
0.126615	leaf-4	0	12	LastDelay	0.0066152	6615.2	1	2
0.126615	leaf-4	0	12	FullDelay	0.0066152	6615.2	1	2
0.135762	leaf-1	0	13	LastDelay	0.0057616	5761.6	1	2
0.135762	leaf-1	0	13	FullDelay	0.0057616	5761.6	1	2
0.135762	leaf-3	0	13	LastDelay	0.0057616	5761.6	1	2
0.135762	leaf-3	0	13	FullDelay	0.0057616	5761.6	1	2
0.136615	leaf-2	0	13	LastDelay	0.0066152	6615.2	1	2
0.136615	leaf-2	0	13	FullDelay	0.0066152	6615.2	1	2
0.136615	leaf-4	0	13	LastDelay	0.0066152	6615.2	1	2
0.136615	leaf-4	0	13	FullDelay	0.0066152	6615.2	1	2
0.145762	leaf-1	0	14	LastDelay	0.0057616	5761.6	1	2
0.145762	leaf-1	0	14	FullDelay	0.0057616	5761.6	1	2
0.145762	leaf-3	0	14	LastDelay	0.0057616	5761.6	1	2
0.145762	leaf-3	0	14	FullDelay	0.0057616	5761.6	1	2
0.146615	leaf-2	0	14	LastDelay	0.0066152	6615.2	1	2
0.146615	leaf-2	0	14	FullDelay	0.0066152	6615.2	1	2
0.146615	leaf-4	0	14	LastDelay	0.0066152	6615.2	1	2
0.146615	leaf-4	0	14	FullDelay	0.0066152	6615.2	1	2
0.155762	leaf-1	0	15	LastDelay	0.0057616	5761.6	1	2
0.155762	leaf-1	0	15	FullDelay	0.0057616	5761.6	1	2
0.155762	leaf-3	0	15	LastDelay	0.0057616	5761.6	1	2
0.155762	leaf-3	0	15	FullDelay	0.0057616	5761.6	1	2
0.156615	leaf-2	0	15	LastDelay	0.0066152	6615.2	1	2
0.156615	leaf-2	0	15	FullDelay	0.0066152	6615.2	1	2
0.156615	leaf-4	0	15	LastDelay	0.0066152	6615.2	1	2
0.156615	leaf-4	0	15	FullDelay	0.0066152	6615.2	1	2
0.165762	leaf-1	0	16	LastDelay	0.0057616	5761.6	1	2
0.165762	leaf-1	0	16	FullDelay	0.0057616	5761.6	1	2
0.165762	leaf-3	0	16	LastDelay	0.0057616	5761.6	1	2
0.165762	leaf-3	0	16	FullDelay	0.0057616	5761.6	1	2
0.166615	leaf-2	0	16	LastDelay	0.0066152	6615.2	1	2
0.166615	leaf-2	0	16	FullDelay	0.0066152	6615.2	1	2
0.166615	leaf-4	0	16	LastDelay	0.0066152	6615.2	1	2
0.166615	leaf-4	0	16	FullDelay	0.0066152	6615.2	1	2
0.175762	leaf-1	0	17	LastDelay	0.0057616	5761.6	1	2
0.175762	leaf-1	0	17	FullDelay	0.0057616	5761.6	1	2
0.175762	leaf-3	0	17	LastDelay	0.0057616	5761.6	1	2
0.175762	leaf-3	0	17	FullDelay	0.0057616	5761.6	1	2
0.176615	leaf-2	0	17	LastDelay	0.0066152	6615.2	1	2
0.176615	leaf-2	0	17	FullDelay	0.0066152	6615.2	1	2
0.176615	leaf-4	0	17	LastDelay	0.0066152	6615.2	1	2
0.176615	leaf-4	0	17	FullDelay	0.0066152	6615.2	1	2
0.185762	leaf-1	0	18	LastDelay	0.0057616	5761.6	1	2
0.185762	leaf-1	0	18	FullDelay	0.0057616	5761.6	1	2
0.185762	leaf-3	0	18	LastDelay	0.0057616	5761.6	1	2
0.185762	leaf-3	0	18	FullDelay	0.0057616	5761.6	1	2
0.186615	leaf-2	0	18	LastDelay	0.0066152	6615.2	1	2
0.186615	leaf-2	0	18	FullDelay	0.0066152	6615.2	1	2
0.186615	leaf-4	0	18	LastDelay	0.0066152	6615.2	1	2
0.186615	leaf-4	0	18	FullDelay	0.0066152	6615.2	1	2
0.195762	leaf-1	0	19	LastDelay	0.0057616	5761.6	1	2
0.195762	leaf-1	0	19	FullDelay	0.0057616	5761.6	1	2
0.195762	leaf-3	0	19	LastDelay	0.0057616	5761.6	1	2
