Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	leaf-1	1	internal://	InInterests	0	0	0	0
0.5	leaf-1	1	internal://	OutInterests	0	0	0	0
0.5	leaf-1	1	internal://	InData	0	0	0	0
0.5	leaf-1	1	internal://	OutData	0	0	0	0
0.5	leaf-1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	leaf-1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	256	netDeviceFace://	InInterests	0	0	0	0
0.5	leaf-1	256	netDeviceFace://	OutInterests	80	0	50	0
0.5	leaf-1	256	netDeviceFace://	InData	80	83.2031	50	52.002
0.5	leaf-1	256	netDeviceFace://	OutData	0	0	0	0
0.5	leaf-1	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	leaf-1	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	256	netDeviceFace://	OutSatisfiedInterests	80	0	50	0
0.5	leaf-1	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	257	ndnFace://0	InInterests	9.6	0	6	0
0.5	leaf-1	257	ndnFace://0	OutInterests	0	0	0	0
0.5	leaf-1	257	ndnFace://0	InData	0	0	0	0
0.5	leaf-1	257	ndnFace://0	OutData	0	0	0	0
0.5	leaf-1	257	ndnFace://0	InSatisfiedInterests	3.2	0	2	0
0.5	leaf-1	257	ndnFace://0	InTimedOutInterests	0	0	0	0
0.5	leaf-1	257	ndnFace://0	OutSatisfiedInterests	0	0	0	0
0.5	leaf-1	257	ndnFace://0	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	InInterests	80	2.5	50	1.5625
0.5	leaf-1	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	InData	0	0	0	0
0.5	leaf-1	258	appFace://	OutData	80	83.2031	50	52.002
0.5	leaf-1	258	appFace://	InSatisfiedInterests	80	0	50	0
0.5	leaf-1	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-1	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	-1	all	SatisfiedInterests	88	0	55	0
0.5	leaf-1	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-2	1	internal://	InInterests	0	0	0	0
0.5	leaf-2	1	internal://	OutInterests	0	0	0	0
0.5	leaf-2	1	internal://	InData	0	0	0	0
0.5	leaf-2	1	internal://	OutData	0	0	0	0
0.5	leaf-2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	leaf-2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	256	netDeviceFace://	InInterests	0	0	0	0
0.5	leaf-2	256	netDeviceFace://	OutInterests	80	0	50	0
0.5	leaf-2	256	netDeviceFace://	InData	80	83.2031	50	52.002
0.5	leaf-2	256	netDeviceFace://	OutData	0	0	0	0
0.5	leaf-2	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	leaf-2	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	256	netDeviceFace://	OutSatisfiedInterests	80	0	50	0
0.5	leaf-2	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	257	ndnFace://1	InInterests	9.6	0	6	0
0.5	leaf-2	257	ndnFace://1	OutInterests	0	0	0	0
0.5	leaf-2	257	ndnFace://1	InData	0	0	0	0
0.5	leaf-2	257	ndnFace://1	OutData	0	0	0	0
0.5	leaf-2	257	ndnFace://1	InSatisfiedInterests	3.2	0	2	0
0.5	leaf-2	257	ndnFace://1	InTimedOutInterests	0	0	0	0
0.5	leaf-2	257	ndnFace://1	OutSatisfiedInterests	0	0	0	0
0.5	leaf-2	257	ndnFace://1	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	InInterests	80	2.5	50	1.5625
0.5	leaf-2	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	InData	0	0	0	0
0.5	leaf-2	258	appFace://	OutData	80	83.2031	50	52.002
0.5	leaf-2	258	appFace://	InSatisfiedInterests	80	0	50	0
0.5	leaf-2	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-2	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	-1	all	SatisfiedInterests	88	0	55	0
0.5	leaf-2	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-3	1	internal://	InInterests	0	0	0	0
0.5	leaf-3	1	internal://	OutInterests	0	0	0	0
0.5	leaf-3	1	internal://	InData	0	0	0	0
0.5	leaf-3	1	internal://	OutData	0	0	0	0
0.5	leaf-3	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-3	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	leaf-3	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	256	netDeviceFace://	InInterests	0	0	0	0
0.5	leaf-3	256	netDeviceFace://	OutInterests	80	0	50	0
0.5	leaf-3	256	netDeviceFace://	InData	80	83.2031	50	52.002
0.5	leaf-3	256	netDeviceFace://	OutData	0	0	0	0
0.5	leaf-3	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	leaf-3	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	256	netDeviceFace://	OutSatisfiedInterests	80	0	50	0
0.5	leaf-3	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	257	ndnFace://2	InInterests	9.6	0	6	0
0.5	leaf-3	257	ndnFace://2	OutInterests	0	0	0	0
0.5	leaf-3	257	ndnFace://2	InData	0	0	0	0
0.5	leaf-3	257	ndnFace://2	OutData	0	0	0	0
0.5	leaf-3	257	ndnFace://2	InSatisfiedInterests	3.2	0	2	0
0.5	leaf-3	257	ndnFace://2	InTimedOutInterests	0	0	0	0
0.5	leaf-3	257	ndnFace://2	OutSatisfiedInterests	0	0	0	0
0.5	leaf-3	257	ndnFace://2	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	258	appFace://	InInterests	80	2.5	50	1.5625
0.5	leaf-3	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-3	258	appFace://	InData	0	0	0	0
0.5	leaf-3	258	appFace://	OutData	80	83.2031	50	52.002
0.5	leaf-3	258	appFace://	InSatisfiedInterests	80	0	50	0
0.5	leaf-3	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-3	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	-1	all	SatisfiedInterests	88	0	55	0
0.5	leaf-3	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-4	1	internal://	InInterests	0	0	0	0
0.5	leaf-4	1	internal://	OutInterests	0	0	0	0
0.5	leaf-4	1	internal://	InData	0	0	0	0
0.5	leaf-4	1	internal://	OutData	0	0	0	0
0.5	leaf-4	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-4	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-4	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	leaf-4	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-4	256	netDeviceFace://	InInterests	0	0	0	0
0.5	leaf-4	256	netDeviceFace://	OutInterests	80	0	50	0
0.5	leaf-4	256	netDeviceFace://	InData	80	83.2031	50	52.002
0.5	leaf-4	256	netDeviceFace://	OutData	0	0	0	0
0.5	leaf-4	256	netDeviceFace://	InSatisfiedInterests	0	0	0	0
0.5	leaf-4	256	netDeviceFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-4	256	netDeviceFace://	OutSatisfiedInterests	80	0	50	0
0.5	leaf-4	256	netDeviceFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-4	257	ndnFace://3	InInterests	9.6	0	6	0
0.5	leaf-4	257	ndnFace://3	OutInterests	0	0	0	0
0.5	leaf-4	257	ndnFace://3	InData	0	0	0	0
0.5	leaf-4	257	ndnFace://3	OutData	0	0	0	0
0.5	leaf-4	257	ndnFace://3	InSatisfiedInterests	3.2	0	2	0
0.5	leaf-4	257	ndnFace://3	InTimedOutInterests	0	0	0	0
0.5	leaf-4	257	ndnFace://3	OutSatisfiedInterests	0	0	0	0
0.5	leaf-4	257	ndnFace://3	OutTimedOutInterests	0	0	0	0
0.5	leaf-4	258	appFace://	InInterests	80	2.5	50	1.5625
0.5	leaf-4	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-4	258	appFace://	InData	0	0	0	0
0.5	leaf-4	258	appFace://	OutData	80	83.2031	50	52.002
0.5	leaf-4	258	appFace://	InSatisfiedInterests	80	0	50	0
